,fi_t1,fi_t0,fi_mean
cus_cat_7_rto,535,591,563.0
n_redeem,746,376,561.0
cus_cat_7_atv,390,485,437.5
cus_cat_5_rto,425,447,436.0
cus_cat_5_std,465,395,430.0
mntv,418,413,415.5
n_days_life,425,406,415.5
cus_cat_5_atv,392,432,412.0
cus_cat_7_n_days_big_period,373,430,401.5
cus_cat_7_std,375,419,397.0
cus_mark_n_offers,421,351,386.0
cus_cat_6_rto,371,386,378.5
rto_format_1,324,382,353.0
age,370,326,348.0
cus_mark_n_view,363,298,330.5
n_sku,329,309,319.0
cus_cat_6_std,290,345,317.5
cus_cat_6_atv,294,314,304.0
cus_cat_5_max_min_days_diff,286,320,303.0
cus_mark_n_rule,441,145,293.0
p_25_tv,287,299,293.0
cus_cat_7_max_min_days_diff,299,265,282.0
mxtv,272,285,278.5
rto_format_3,283,268,275.5
avg_days_btw_trn,279,259,269.0
n_cat_7,250,288,269.0
stdtv,256,279,267.5
cus_cat_days_5_diff_max,260,271,265.5
mtv,260,259,259.5
cus_cat_5_n_days_big_period,273,226,249.5
cus_cat_6_n_days_big_period,238,250,244.0
cus_cat_6_max_min_days_diff,237,248,242.5
cus_cat_5_last_2_days,251,216,233.5
p_75_tv,239,228,233.5
cus_cat_5_n_sku,221,245,233.0
n_cat_6,237,216,226.5
cus_cat_days_7_diff_max,207,240,223.5
cus_cat_5_last_3_days,221,223,222.0
cus_cat_days_5_diff_mean,222,209,215.5
rto,196,230,213.0
cus_cat_7_last_2_3_days,204,221,212.5
cus_cat_5_last_2_3_days,187,229,208.0
cus_cat_7_last_2_days,202,205,203.5
cus_cat_7_last_1_days,195,209,202.0
cus_cat_days_5_diff_std,167,237,202.0
cus_cat_days_7_diff_mean,192,209,200.5
n_trn,224,177,200.5
cus_cat_6_last_2_3_days,206,193,199.5
atv,191,203,197.0
cus_cat_days_6_diff_max,178,210,194.0
cus_cat_6_last_3_days,178,207,192.5
max_days_btw_trn,168,217,192.5
cus_cat_7_last_3_days,195,189,192.0
rto_format_2,175,201,188.0
cus_cat_days_7_diff_std,182,193,187.5
cus_cat_5_last_1_2_days,160,196,178.0
cus_cat_days_6_diff_std,173,171,172.0
n_sites,158,185,171.5
cus_cat_7_last_1_2_days,158,174,166.0
n_cat_5,173,159,166.0
cus_cat_5_last_1_days,154,174,164.0
cus_cat_6_last_2_days,162,143,152.5
cus_cat_days_6_diff_mean,127,169,148.0
cus_cat_6_last_1_2_days,149,136,142.5
n_days_last_visit,114,150,132.0
cus_cat_5_n_days,132,127,129.5
cus_cat_6_last_1_days,116,129,122.5
cus_cat_6_n_sku,106,101,103.5
cus_cat_days_7_diff_min,94,98,96.0
cus_cat_7_n_sku,81,85,83.0
communication_type,104,54,79.0
cus_cat_7_n_days,60,88,74.0
cus_cat_days_6_diff_min,77,59,68.0
cus_cat_6_n_days,65,68,66.5
p_75_days_btw_trn,50,78,64.0
n_formats,45,59,52.0
p_25_days_btw_trn,46,48,47.0
n_plastic_card,52,40,46.0
p_50_days_btw_trn,47,43,45.0
cus_mark_fav_cat_accept_flg_1_month_ago,27,53,40.0
cus_cat_days_5_diff_min,21,36,28.5
cus_mark_fav_cat_accept_flg_2_month_ago,24,26,25.0
n_regions,17,26,21.5
gendercalc,23,19,21.0
min_days_btw_trn,13,21,17.0
n_virtual_card,7,11,9.0
