,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
age,355237.0,38.76995076526375,13.279615188941646,5.0,16.0,19.0,30.0,37.0,47.0,62.0,71.0,156.0
n_days_life,355005.0,1371.386566386389,549.5151034998735,42.0,110.0,247.0,973.0,1664.0,1793.0,1911.0,2004.0,2152.0
gendercalc,343923.0,0.24177795611226932,0.4281610784299312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
n_plastic_card,257949.0,1.2743294217073917,0.5444008102517565,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,11.0
n_virtual_card,355239.0,1.0152798538448762,0.13569517014955015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0
rto,355233.0,12075.451146149147,9119.88399220065,-219.0,783.0,2040.6000000000022,5881.0,10320.0,15814.0,28076.0,45655.0,496493.0
atv,355233.0,781.4323078092407,570.4982368668649,-24.0,156.0,242.60000000000218,426.0,628.0,950.0,1838.0,2954.0,14644.0
mtv,355233.0,640.9379139888467,541.9765829374996,-760.0,106.0,170.0,320.0,493.0,771.0,1610.0,2808.0,15791.0
p_25_tv,355229.0,395.414788770061,377.1879512541718,-2359.0,59.0,97.0,185.0,292.0,475.0,1020.0,1912.0,13976.0
p_75_tv,355233.0,1006.1280765019015,785.081708400132,31.0,177.0,287.0,526.0,789.0,1217.0,2472.0,4062.679999999993,17704.0
mxtv,355233.0,2199.783046620106,1738.5249153364332,54.0,322.0,584.0,1136.0,1740.0,2700.0,5398.0,8665.679999999993,184907.0
mntv,355208.0,142.64572869980407,315.7988117986289,-10500.0,-540.0,-124.0,50.0,99.0,189.0,530.0,1171.0,13976.0
stdtv,353294.0,604.2103573794063,519.8575893467312,0.0,82.0,153.0,296.0,458.0,732.0,1551.0,2597.070000000007,43316.0
n_trn,355233.0,17.870088083032826,12.038182301334743,1.0,2.0,4.0,9.0,15.0,23.0,41.0,58.0,794.0
n_sites,355233.0,4.199863188386214,2.5382068943560627,1.0,1.0,1.0,2.0,4.0,5.0,9.0,12.0,39.0
n_formats,355207.0,1.8280692666529657,0.7289922499355566,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0
n_regions,355207.0,1.1009721092208204,0.3362479108191439,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0
rto_format_1,349434.0,9452.989909396338,7696.922225298016,-1759.0,314.0,1087.0,4067.0,7862.0,12858.75,22745.0,36904.00999999995,496333.0
rto_format_2,93663.0,5193.054482559815,6321.534087251086,-7999.0,77.0,220.0,1080.0,3000.0,7078.0,16983.899999999994,29476.240000000224,194169.0
rto_format_3,187109.0,2356.9627382969284,3070.6801912473475,-310.0,76.0,169.0,588.0,1400.0,3005.0,7539.0,14331.920000000013,162704.0
n_days_last_visit,355233.0,8.09076577908021,5.37874389060873,4.0,4.0,4.0,4.0,6.0,9.0,20.0,28.0,50.0
n_sku,355236.0,69.57437872287719,42.96605193113938,1.0,6.0,15.0,39.0,63.0,92.0,146.0,206.0,1926.0
n_cat_7,355236.0,45.490093909401075,23.409924124742332,1.0,5.0,12.0,28.0,43.0,60.0,87.0,112.0,355.0
n_cat_6,355236.0,33.23281705682982,14.698025579358188,1.0,5.0,10.0,22.0,33.0,43.0,58.0,70.0,131.0
n_cat_5,355236.0,17.338009098176986,5.391493614620809,1.0,4.0,7.0,14.0,18.0,21.0,25.0,28.0,34.0
avg_days_btw_trn,353057.0,5.129879141328455,4.218896723765544,1.0,1.43,1.82,2.78,3.92,5.89,12.33,23.0,55.0
p_25_days_btw_trn,353057.0,2.816213812500531,3.84374120685778,1.0,1.0,1.0,1.0,2.0,3.0,8.0,20.0,55.0
p_50_days_btw_trn,353057.0,4.211795829002116,4.288427962887337,1.0,1.0,1.0,2.0,3.0,5.0,12.0,23.0,55.0
p_75_days_btw_trn,353057.0,6.41204394757787,5.0249065004330165,1.0,2.0,2.0,3.0,5.0,8.0,16.0,27.0,55.0
min_days_btw_trn,353057.0,1.890827826668215,3.53956690979698,1.0,1.0,1.0,1.0,1.0,1.0,5.0,20.0,55.0
max_days_btw_trn,353057.0,12.169383414009635,6.576995307602585,1.0,3.0,5.0,7.0,11.0,15.0,25.0,35.0,55.0
n_redeem,209524.0,191.86718466619575,330.2420362314707,1.0,2.0,8.0,41.0,99.0,212.0,668.0,1569.0,15176.0
cus_cat_7_rto,140481.0,377.58287597611064,375.4200484337394,1.0,82.0,100.0,150.0,250.0,460.0,1053.0,1834.0,18264.0
cus_cat_7_atv,140481.0,176.14500893359244,91.29527767924563,1.0,70.0,100.0,114.0,154.0,200.0,345.0,490.0,2720.0
cus_cat_7_std,71138.0,51.897213866006915,64.95738950817639,0.0,0.0,0.0,7.0,35.0,71.0,170.0,290.0,1747.0
cus_cat_7_n_days,140584.0,2.055027599157799,1.6396492229200896,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,31.0
cus_cat_7_n_sku,140584.0,1.5846326751266147,0.9226697335120645,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,15.0
cus_cat_6_rto,149733.0,398.3861740564872,397.59486358439943,1.0,88.0,100.0,160.0,270.0,490.0,1120.0,1955.0,18264.0
cus_cat_6_atv,149733.0,177.97703245109628,92.18271287317421,1.0,74.0,100.0,115.0,153.0,206.0,350.0,500.0,2720.0
cus_cat_6_std,79035.0,54.01406971594863,65.90970802157817,0.0,0.0,0.0,10.0,38.0,71.0,175.0,297.0,1747.0
cus_cat_6_n_days,149832.0,2.12056836990763,1.7024977310767633,1.0,1.0,1.0,1.0,1.0,3.0,5.0,9.0,31.0
cus_cat_6_n_sku,149832.0,1.6731005392706497,1.0216158754442646,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,18.0
cus_cat_5_rto,266488.0,908.936301071718,970.8054423490632,-324.0,75.0,110.0,300.0,618.0,1180.0,2650.0,4634.0,31724.0
cus_cat_5_atv,266488.0,183.1452935967098,85.64101436193157,-81.0,60.0,93.0,130.0,165.0,217.0,331.0,475.0,4056.0
cus_cat_5_std,212624.0,74.3820358943487,67.34000010914565,0.0,0.0,6.0,33.0,61.0,97.0,187.0,313.0,5390.0
cus_cat_5_n_days,266575.0,3.7083522460845915,2.9301487815799407,1.0,1.0,1.0,1.0,3.0,5.0,9.0,14.0,47.0
cus_cat_5_n_sku,266575.0,3.780774641282941,2.9831747820787933,1.0,1.0,1.0,2.0,3.0,5.0,10.0,14.0,83.0
cus_cat_7_n_days_big_period,263132.0,6.531170667193652,7.402811182922584,1.0,1.0,1.0,2.0,4.0,8.0,21.0,35.0,170.0
cus_cat_days_7_diff_mean,209216.0,53.380622896910374,50.20121118271998,1.0,4.0,9.8,22.0,37.5,65.8,155.0,266.0,363.0
cus_cat_days_7_diff_min,209216.0,28.097588138574487,51.91688865296823,1.0,1.0,1.0,3.0,7.0,26.0,143.0,266.0,363.0
cus_cat_days_7_diff_max,209216.0,97.93678303762618,62.185059546664,1.0,5.0,18.0,53.0,85.0,130.0,223.0,288.0,363.0
cus_cat_days_7_diff_std,171210.0,37.80154430231879,31.473135591239927,0.0,2.1,7.0,16.8,28.5,48.3,102.3,157.0,250.3
cus_cat_7_last_1_2_days,209216.0,54.408463023860506,61.116190518709544,1.0,1.0,3.0,12.0,31.0,73.0,191.0,278.0,363.0
cus_cat_7_last_2_3_days,171210.0,43.10193329828865,49.77828401379194,1.0,1.0,3.0,10.0,25.0,57.0,151.0,235.0,355.0
cus_cat_7_max_min_days_diff,263132.0,166.2868408251372,126.19666792294647,0.0,0.0,0.0,27.0,177.0,285.0,345.0,357.0,363.0
cus_cat_7_last_1_days,263132.0,84.05903880941885,84.45071530262351,4.0,4.0,6.0,21.0,53.0,119.0,277.0,348.0,367.0
cus_cat_7_last_2_days,209216.0,120.33899892933619,91.23005764400166,5.0,9.0,17.0,47.0,94.0,174.0,312.0,357.0,367.0
cus_cat_7_last_3_days,171210.0,143.67756556275918,92.34455898434832,6.0,16.0,27.0,68.0,122.0,206.0,326.0,359.0,367.0
cus_cat_6_n_days_big_period,271088.0,6.958578026323555,7.7929962628156595,1.0,1.0,1.0,2.0,4.0,9.0,22.0,37.0,171.0
cus_cat_days_6_diff_mean,219618.0,51.86592765620305,49.120942613489426,1.0,4.0,9.7,21.3,36.3,63.6,150.5,262.0,363.0
cus_cat_days_6_diff_min,219618.0,26.627202688304237,50.52148751201913,1.0,1.0,1.0,3.0,7.0,23.0,135.0,262.0,363.0
cus_cat_days_6_diff_max,219618.0,97.05187644000037,61.43976242035477,1.0,5.0,19.0,53.0,84.0,129.0,220.0,287.0,363.0
cus_cat_days_6_diff_std,182252.0,37.09831716524373,31.01320749975668,0.0,2.2,6.9,16.5,27.9,47.4,100.0,155.6,250.3
cus_cat_6_last_1_2_days,219618.0,52.83046926936772,60.04054448628191,1.0,1.0,3.0,12.0,30.0,71.0,187.0,275.0,363.0
cus_cat_6_last_2_3_days,182252.0,41.95177007659724,48.95328876436899,1.0,1.0,3.0,10.0,24.0,55.0,148.0,233.0,355.0
cus_cat_6_max_min_days_diff,271088.0,172.48566148261818,126.09554806711942,0.0,0.0,0.0,38.0,188.0,291.0,347.0,358.0,363.0
cus_cat_6_last_1_days,271088.0,80.61392979401523,82.62134491730689,4.0,4.0,6.0,19.0,50.0,113.0,270.0,346.0,367.0
cus_cat_6_last_2_days,219618.0,116.44186268885063,90.03895460790766,5.0,9.0,16.0,45.0,90.0,167.0,308.0,356.0,367.0
cus_cat_6_last_3_days,182252.0,139.69290871979456,91.4620035469582,6.0,15.0,26.0,65.0,118.0,200.0,323.0,359.0,367.0
cus_cat_5_n_days_big_period,335541.0,17.550072867399216,16.515601380610356,1.0,1.0,1.0,6.0,13.0,24.0,50.0,75.0,313.0
cus_cat_days_5_diff_mean,316875.0,30.324522919132146,33.82695956968669,1.0,4.0,6.2,11.8,19.7,35.0,90.0,178.0,362.0
cus_cat_days_5_diff_min,316875.0,10.345868244575938,30.398497883924584,1.0,1.0,1.0,1.0,2.0,5.0,48.0,177.0,362.0
cus_cat_days_5_diff_max,316875.0,77.70055384615385,52.18478606360261,1.0,9.0,20.0,41.0,64.0,101.0,184.0,257.0,362.0
cus_cat_days_5_diff_std,299371.0,25.418280995821235,24.213347602724426,0.0,2.8,4.9,10.3,17.9,31.4,72.3,125.2,255.3
cus_cat_5_last_1_2_days,316875.0,30.55367573964497,43.21561758007092,1.0,1.0,2.0,6.0,14.0,36.0,119.0,222.0,362.0
cus_cat_5_last_2_3_days,299371.0,26.30845005027207,36.86719019820412,1.0,1.0,2.0,6.0,13.0,31.0,100.0,189.0,353.0
cus_cat_5_max_min_days_diff,335541.0,250.36219120763187,111.81216949532286,0.0,0.0,0.0,185.0,297.0,340.0,358.0,362.0,363.0
cus_cat_5_last_1_days,335541.0,41.81377238549089,55.93449158378505,4.0,4.0,4.0,9.0,20.0,49.0,160.0,291.0,367.0
cus_cat_5_last_2_days,316875.0,66.62179092702169,68.49394487305719,5.0,6.0,9.0,21.0,42.0,85.0,223.0,326.0,367.0
cus_cat_5_last_3_days,299371.0,85.75096786261862,75.2514945807755,6.0,10.0,15.0,32.0,60.0,112.0,257.0,339.0,367.0
cus_mark_fav_cat_accept_flg_1_month_ago,154750.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cus_mark_fav_cat_accept_flg_2_month_ago,199928.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cus_mark_n_offers,349891.0,50.76489249509133,25.271676971248407,1.0,3.0,11.0,31.0,50.0,69.0,94.0,108.0,147.0
cus_mark_n_view,349891.0,11.881428787822493,18.61452849715199,0.0,0.0,0.0,1.0,3.0,14.0,56.0,82.0,131.0
cus_mark_n_rule,349891.0,1.8504448528255943,3.173441511163453,0.0,0.0,0.0,0.0,1.0,2.0,9.0,15.0,50.0
rec_spend,355246.0,21.140558852175676,78.36873089518946,0.0,0.0,0.0,0.0,0.0,0.0,179.99,399.98,1139.96
