feature,reg_imp_norm,clf_imp_norm,treatment_associated
cus_cat_7_rto,0.036182795698924734,0.007903225806451614,False
n_redeem,0.03053763440860215,0.024086021505376344,False
cus_cat_5_rto,0.02467741935483871,0.01521505376344086,False
cus_cat_7_atv,0.023870967741935485,0.0077956989247311825,False
cus_cat_5_std,0.02381720430107527,0.0160752688172043,False
cus_cat_7_std,0.023172043010752687,0.004838709677419355,False
mntv,0.023064516129032257,0.029408602150537633,False
cus_cat_7_n_days_big_period,0.022419354838709677,0.006935483870967742,False
cus_cat_5_atv,0.02193548387096774,0.017849462365591397,False
cus_cat_6_rto,0.02182795698924731,0.007741935483870968,False
age,0.021774193548387097,0.02381720430107527,False
n_days_life,0.021021505376344087,0.03327956989247312,False
cus_mark_n_offers,0.020053763440860215,0.029408602150537633,False
cus_mark_n_view,0.019408602150537635,0.018655913978494625,False
cus_cat_6_std,0.01935483870967742,0.005752688172043011,False
cus_mark_n_rule,0.018494623655913978,0.009086021505376345,False
cus_cat_5_max_min_days_diff,0.01736559139784946,0.02118279569892473,False
rto_format_1,0.017258064516129032,0.01978494623655914,False
mxtv,0.016505376344086022,0.02053763440860215,False
cus_cat_6_atv,0.016344086021505378,0.008172043010752689,False
mtv,0.015591397849462365,0.018494623655913978,False
p_25_tv,0.015483870967741935,0.021236559139784946,False
p_75_tv,0.01510752688172043,0.01817204301075269,False
rto_format_3,0.014731182795698924,0.02021505376344086,False
stdtv,0.01467741935483871,0.021559139784946238,False
n_sku,0.01435483870967742,0.01752688172043011,False
n_trn,0.013333333333333334,0.011720430107526882,False
cus_cat_7_max_min_days_diff,0.013172043010752688,0.010483870967741936,False
avg_days_btw_trn,0.013064516129032259,0.018978494623655914,False
cus_cat_5_n_days_big_period,0.013010752688172042,0.01032258064516129,False
cus_cat_days_5_diff_max,0.012795698924731183,0.01801075268817204,False
cus_cat_6_n_days_big_period,0.012688172043010752,0.00489247311827957,False
cus_cat_days_7_diff_mean,0.011666666666666667,0.00967741935483871,False
cus_cat_6_max_min_days_diff,0.011397849462365592,0.011881720430107526,False
cus_cat_5_last_3_days,0.011397849462365592,0.013440860215053764,False
cus_cat_7_last_2_days,0.011344086021505377,0.011881720430107526,False
n_cat_7,0.011182795698924731,0.012473118279569893,False
cus_cat_days_5_diff_std,0.011129032258064516,0.01672043010752688,False
n_cat_6,0.011129032258064516,0.012795698924731183,False
cus_cat_5_n_sku,0.011075268817204302,0.006397849462365592,False
rto,0.010913978494623656,0.017741935483870968,False
cus_cat_7_last_2_3_days,0.010860215053763441,0.009946236559139785,False
cus_cat_days_5_diff_mean,0.010752688172043012,0.015591397849462365,False
max_days_btw_trn,0.01064516129032258,0.014032258064516129,False
cus_cat_6_last_2_3_days,0.010591397849462366,0.009838709677419354,False
cus_cat_7_last_3_days,0.010483870967741936,0.008440860215053763,False
cus_cat_5_last_2_days,0.01032258064516129,0.01903225806451613,False
cus_cat_5_last_1_days,0.010161290322580644,0.018870967741935484,False
n_sites,0.01010752688172043,0.009946236559139785,False
cus_cat_5_last_2_3_days,0.010053763440860215,0.017419354838709676,False
cus_cat_days_7_diff_std,0.01,0.007634408602150537,False
cus_cat_days_7_diff_max,0.009946236559139785,0.007365591397849462,False
cus_cat_7_last_1_days,0.00978494623655914,0.014086021505376344,False
cus_cat_days_6_diff_mean,0.009569892473118279,0.00881720430107527,False
atv,0.00946236559139785,0.01467741935483871,False
n_cat_5,0.008870967741935484,0.010752688172043012,False
rto_format_2,0.008870967741935484,0.010806451612903226,False
cus_cat_days_6_diff_max,0.008870967741935484,0.008924731182795699,False
cus_cat_5_last_1_2_days,0.008709677419354838,0.016236559139784945,False
cus_cat_days_6_diff_std,0.008655913978494623,0.009193548387096774,False
cus_cat_6_last_2_days,0.008602150537634409,0.01043010752688172,False
cus_cat_7_last_1_2_days,0.008602150537634409,0.008279569892473118,False
cus_cat_5_n_days,0.008387096774193548,0.003010752688172043,False
n_days_last_visit,0.007956989247311828,0.011559139784946236,False
cus_cat_6_last_3_days,0.007204301075268817,0.008548387096774194,False
cus_cat_6_last_1_2_days,0.007150537634408602,0.01043010752688172,False
cus_cat_6_last_1_days,0.006182795698924731,0.014731182795698924,False
cus_cat_7_n_sku,0.005161290322580645,0.0013440860215053765,False
cus_cat_6_n_sku,0.005,0.0022580645161290325,False
cus_cat_days_7_diff_min,0.00489247311827957,0.007473118279569892,False
communication_type,0.004408602150537635,0.005,False
cus_cat_7_n_days,0.004354838709677419,0.000967741935483871,False
cus_cat_6_n_days,0.003763440860215054,0.0014516129032258066,False
cus_cat_days_6_diff_min,0.003064516129032258,0.009247311827956989,False
p_75_days_btw_trn,0.002795698924731183,0.006075268817204301,False
p_50_days_btw_trn,0.002795698924731183,0.00489247311827957,False
p_25_days_btw_trn,0.002150537634408602,0.0033870967741935483,False
n_plastic_card,0.002150537634408602,0.003709677419354839,False
n_formats,0.002150537634408602,0.0025806451612903226,False
cus_mark_fav_cat_accept_flg_1_month_ago,0.002096774193548387,0.0033333333333333335,False
gendercalc,0.0016666666666666668,0.0017741935483870969,False
cus_cat_days_5_diff_min,0.0012365591397849463,0.008548387096774194,False
cus_mark_fav_cat_accept_flg_2_month_ago,0.0012365591397849463,0.0023655913978494624,False
n_regions,0.0011827956989247312,0.001075268817204301,False
min_days_btw_trn,0.00043010752688172043,0.0027419354838709676,False
n_virtual_card,0.0003225806451612903,0.0010215053763440861,False
