feature,importance
n_days_life,4183.187788009644
cus_mark_n_offers,4037.0399041175842
spend_cv,3963.3169820308685
mntv,3951.85209941864
cat_breadth_ratio,3753.3275048732758
trn_density,3695.878062725067
age,3528.8541431427
p_25_tv,3266.276709318161
n_redeem,3230.3474674224854
cus_cat_5_atv,3189.5770161151886
rto_format_1,3164.7171852588654
mkt_view_rate,3153.9169669151306
rto_format_3,2984.0921902656555
cat7_vs_last_visit,2958.5612049102783
p_75_tv,2955.971276283264
cus_cat_5_max_min_days_diff,2932.0887167453766
mtv,2915.8834190368652
cus_cat_5_last_2_3_days,2892.043690443039
avg_days_btw_trn,2881.086590051651
stdtv,2879.844348669052
cus_cat_5_last_2_days,2860.0836634635925
cus_cat_5_last_1_days,2844.6339963674545
cus_cat_days_5_diff_std,2764.8524503707886
n_sku,2725.309429168701
cat5_share,2692.7382085323334
mxtv,2669.068410515785
atv,2628.3524177074432
cus_cat_5_rto,2620.723779439926
mkt_resp_rate,2584.5798094272614
recency_ratio,2436.5767183303833
rto,2406.4320133924484
cus_cat_5_last_3_days,2402.3067541122437
cus_cat_days_5_diff_mean,2379.1408836841583
cus_cat_days_5_diff_max,2328.467030286789
cus_cat_5_std,2322.6195669174194
cus_cat_5_last_1_2_days,2285.1372044086456
cus_cat_6_last_1_days,2141.364120721817
cus_mark_n_view,2098.096676826477
max_days_btw_trn,1953.094123005867
cus_cat_6_last_2_3_days,1914.6846804618835
cus_cat_7_last_2_3_days,1905.7719930410385
n_cat_7,1810.4399052858353
cus_cat_7_max_min_days_diff,1766.4212274551392
n_cat_6,1764.0930516719818
cus_cat_7_last_1_days,1754.595060825348
cus_cat_6_last_1_2_days,1721.8401885032654
rto_format_2,1720.7313694953918
n_trn,1662.6817982196808
cus_cat_6_last_2_days,1657.6162893772125
cus_cat_days_6_diff_max,1646.4250428676605
cus_cat_6_max_min_days_diff,1645.8765678405762
cus_cat_days_7_diff_mean,1640.169587612152
cus_cat_7_last_2_days,1620.7120971679688
cus_cat_days_7_diff_std,1581.4201498031616
cus_cat_days_6_diff_std,1572.197472333908
cus_cat_5_n_days_big_period,1542.8788003921509
n_days_last_visit,1523.8405365943909
cus_cat_days_5_diff_min,1500.7183723449707
cus_cat_6_last_3_days,1475.9823585748672
cus_cat_7_last_1_2_days,1471.0474977493286
n_sites,1461.8400555849075
cus_cat_7_last_3_days,1387.1108794212341
cus_cat_days_6_diff_min,1384.7709766626358
cus_cat_days_7_diff_min,1375.2024540901184
cat7_share,1318.1182007789612
cus_cat_days_7_diff_max,1306.5598797798157
n_cat_5,1305.2985076904297
cus_cat_days_6_diff_mean,1296.533676624298
cus_cat_6_atv,1220.9619170427322
cus_cat_6_rto,1198.2226548194885
cat6_share,1186.208711028099
cus_cat_7_atv,1172.5946593284607
cus_cat_6_std,1171.9947496652603
cus_cat_7_rto,1005.7461807727814
p_75_days_btw_trn,959.0416598320007
cus_cat_5_n_sku,859.35935151577
cus_cat_7_std,824.0471396446228
cus_mark_n_rule,823.498551607132
cus_cat_6_n_days_big_period,765.5270020961761
p_50_days_btw_trn,743.0586301088333
communication_type,686.6057529449463
cus_cat_7_n_days_big_period,626.2182927131653
p_25_days_btw_trn,533.9164152145386
cus_cat_5_n_days,473.46714973449707
cus_mark_fav_cat_accept_flg_1_month_ago,421.83160161972046
n_plastic_card,417.5591173171997
min_days_btw_trn,388.29529762268066
cus_cat_6_n_sku,341.54640793800354
n_formats,304.9899308681488
cus_mark_fav_cat_accept_flg_2_month_ago,297.77195024490356
cus_cat_6_n_days,261.3814597129822
n_regions,244.1666488647461
gendercalc,220.30850768089294
cus_cat_7_n_days,135.87954020500183
cus_cat_7_n_sku,134.69529104232788
n_virtual_card,73.51661968231201
